n,plaintext_values,plaintext_bytes,aes_ciphertexts,aes_bytes,paillier_nobatch_ciphertexts,paillier_nobatch_bytes,ours_ciphertexts,ours_paillier_bytes,ours_cloud_aes_bytes,ciphertext_count_reduction,byte_reduction_vs_aes,byte_reduction_vs_paillier_nobatch
10,10,80,10,360,10,5120,1,512,36,10,10.0,10.0
50,50,400,50,1800,50,25600,1,512,36,50,50.0,50.0
100,100,800,100,3600,100,51200,1,512,36,100,100.0,100.0
200,200,1600,200,7200,200,102400,1,512,36,200,200.0,200.0
500,500,4000,500,18000,500,256000,1,512,36,500,500.0,500.0
1000,1000,8000,1000,36000,1000,512000,1,512,36,1000,1000.0,1000.0
